"constructorid","constructorref","name","nationality"
1,"mclaren","McLaren","British"
2,"bmw_sauber","BMW Sauber","German"
3,"williams","Williams","British"
4,"renault","Renault","French"
5,"toro_rosso","Toro Rosso","Italian"
6,"ferrari","Ferrari","Italian"
7,"toyota","Toyota","Japanese"
8,"super_aguri","Super Aguri","Japanese"
9,"red_bull","Red Bull","Austrian"
10,"force_india","Force India","Indian"
11,"honda","Honda","Japanese"
12,"spyker","Spyker","Dutch"
13,"mf1","MF1","Russian"
14,"spyker_mf1","Spyker MF1","Dutch"
15,"sauber","Sauber","Swiss"
16,"bar","BAR","British"
17,"jordan","Jordan","Irish"
18,"minardi","Minardi","Italian"
19,"jaguar","Jaguar","British"
20,"prost","Prost","French"
