"raceid","year","circuitid","name","date"
1,"2009",1,"Australian Grand Prix","2009-03-29"
2,"2009",2,"Malaysian Grand Prix","2009-04-05"
3,"2009",17,"Chinese Grand Prix","2009-04-19"
4,"2009",3,"Bahrain Grand Prix","2009-04-26"
5,"2009",4,"Spanish Grand Prix","2009-05-10"
6,"2009",6,"Monaco Grand Prix","2009-05-24"
7,"2009",5,"Turkish Grand Prix","2009-06-07"
8,"2009",9,"British Grand Prix","2009-06-21"
9,"2009",9,"German Grand Prix","2009-07-12"
10,"2009",11,"Hungarian Grand Prix","2009-07-26"
11,"2009",12,"European Grand Prix","2009-08-23"
12,"2009",13,"Belgian Grand Prix","2009-08-30"
13,"2009",14,"Italian Grand Prix","2009-09-13"
14,"2009",15,"Singapore Grand Prix","2009-09-27"
15,"2009",15,"Japanese Grand Prix","2009-10-04"
16,"2009",18,"Brazilian Grand Prix","2009-10-18"
17,"2009",5,"Abu Dhabi Grand Prix","2009-11-01"
18,"2008",1,"Australian Grand Prix","2008-03-16"
19,"2008",2,"Malaysian Grand Prix","2008-03-23"
20,"2008",3,"Bahrain Grand Prix","2008-04-06"
21,"2008",4,"Spanish Grand Prix","2008-04-27"
22,"2008",5,"Turkish Grand Prix","2008-05-11"
23,"2008",6,"Monaco Grand Prix","2008-05-25"
24,"2008",7,"Canadian Grand Prix","2008-06-08"
25,"2008",8,"French Grand Prix","2008-06-22"
26,"2010",18,"Brazilian Grand Prix","2010-10-18"
27,"2011",5,"Abu Dhabi Grand Prix","2011-11-01"
28,"2011",1,"Australian Grand Prix","2011-03-16"
29,"2011",2,"Malaysian Grand Prix","2011-03-23"
30,"2015",3,"Bahrain Grand Prix","2015-04-06"
31,"2020",4,"Spanish Grand Prix","2020-04-27"
32,"2021",5,"Turkish Grand Prix","2021-05-11"
33,"2018",6,"Monaco Grand Prix","2018-05-25"
34,"2021",7,"Canadian Grand Prix","2021-06-08"
35,"2021",8,"French Grand Prix","2021-06-22"
